и	i
дерзкая	
атомный	ˈatəmnɨj
колода	koˈɫɔdɐ
зятем	ˈzætɪm
состоящие	
личике	ˈlit͡ɕɪke
светлей	svɪtˈlej
различимые	
высадились	ˈvɨsədɪlɪs
величественным	
напрасны	
пасху	ˈpasxʊ
областных	
посылка	pɐˈsɨɫkə
отдаленном	
вляпался	ˈvlapəɫsə
шагнули	ʂɐɡˈnulɪ
выворачивая	vɨvɐˈrat͡ɕɪvəjə
загонял	zəɡɐˈnaɫ
снедь	snet
ликер	ˈlikɛr
потирает	pətɪˈrajɪt
претендовал	prɪtɪndɐˈvaɫ
мастики	ˈmastiki
сморщенный	ˈsmorɕːɪnːɨj
мастерству	məstɪrstˈvu
папин	ˈpapɪn
деревяшку	dɪrɪˈvaʂkʊ
серьезны	
передадут	pɪrɪdɐˈdut
дарю	dɐˈru
осин	ˈɔsin
вековые	
отмалчивался	ɐtˈmaɫt͡ɕɪvəɫsə
фокусным	
самоубийц	səməʊˈbijt͡s
журавль	ʐʊˈravl
синеву	sɪnɪˈvu
ют	jut
журавля	ʐʊrɐˈvla
отвертеться	ɐtvɪrˈtet͡sːə
дерзким	
завтрашнему	
бронзовыми	
посылок	pɐˈsɨɫək
изготовленные	
земского	
кладки	ˈkɫatkɪ
перелистывать	pɪrɪˈlistɨvət
поморщившись	pɐˈmorɕːɪfʂɨs
новизны	nəvɪzˈnɨ
печальном	
обнаженными	
заработает	zərɐˈbotəjɪt
замерзшие	
ерзал	
цензуру	t͡sɨnˈzurʊ
проклятья	prɐˈklætjə
повязали	pəvɪˈzalɪ
совершаются	səvɪrˈʂajʊt͡sə
задачах	zɐˈdat͡ɕəx
един	ɛˈdin
ненужно	nɪˈnuʐnə
гальке	ˈɡalke
просыпались	prəsɨˈpalɪs
упадешь	
тесным	
зверства	ˈzverstvə
кондуктор	kɔnˈduktɔr
наилучший	nəɪˈɫut͡ʂʂɨj
оскалил	ɐˈskalɪɫ
молитвенно	
сотрудница	sɐˈtrudnɪt͡sə
тягостным	
облезлый	ɐˈblezɫɨj
отогнул	ɐtɐɡˈnuɫ
хлюпая	ˈxlupəjə
полежит	pəlɪˈʐɨt
ордера	ˈordɪrə
доставлю	dɐˈstavlʊ
теоретического	
гитарами	ɡɪˈtarəmɪ
тягачи	tɪɡɐˈt͡ɕi
удостоверений	ʊdəstəvɪˈrenɪj
вирусов	ˈvirʊsəf
потное	
погружения	pəɡrʊˈʐɛnɪjə
отвод	ɐtˈvot
корейском	
рыночного	
расплатились	rəspɫɐˈtilɪs
авоськи	ɐˈvoskɪ
операциями	ɐpɪˈrat͡sɨjəmɪ
гостиницей	ɡɐˈstinɪt͡sɨj
конкурсы	ˈkonkʊrsɨ
сокращению	səkrɐˈɕːenɪjʊ
готовилось	ɡɐˈtovɪɫəs
становись	stənɐˈvis
соблазнительно	səbɫɐzˈnitɪlnə
очистили	ɐˈt͡ɕistɪlɪ
вагончика	vɐˈɡont͡ɕɪkə
фельетон	fɪljɪˈton
предшественники	prɪt͡ʂˈʂɛstvɪnːɪkɪ
вагончике	vɐˈɡont͡ɕɪke
прорываться	prərɨˈvat͡sːə
взволновался	vzvəɫnɐˈvaɫsə
портсигара	pərt͡ssɪˈɡarə
вбегает	vbɪˈɡajɪt
пиджачке	pɪd͡ʐʐɐt͡ɕˈke
наивная	
голубоватым	
критического	
придвинулась	prɪdˈvinʊɫəs
рыбачить	rɨˈbat͡ɕɪt
бамбука	bɐmˈbukə
круглолицая	
просматривалась	prɐsˈmatrɪvəɫəs
цитирует	t͡sɨˈtirʊjɪt
ордену	ˈordɪnʊ
сбегает	zbɪˈɡajɪt
опрокинуть	ɐprɐˈkinʊt
смахивал	ˈsmaxɪvəɫ
сопротивлением	səprətɪˈvlenɪjɪm
взвалить	vzvɐˈlit
смахивая	ˈsmaxɪvəjə
убедительное	
статуэтки	stətʊˈɛtkɪ
уличить	ʊlɪˈt͡ɕit
глазищи	
мелодий	mɪˈɫodɪj
незаслуженно	nɪzɐsˈɫuʐɨnːə
уцелело	ʊt͡sɨˈleɫə
хитроумные	
смея	ˈsmɛjɐ
въезжал	vjɪˈʐːaɫ
птицелов	
грузинской	
межпланетники	
проверенных	
довоенные	
учебную	
снижая	snɪˈʐajə
детскому	
распространенности	
эстраду	ɪˈstradʊ
высотных	
бегите	bɪˈɡite
мяли	ˈmælɪ
учением	ʊˈt͡ɕenɪjɪm
грозных	
ловок	ˈɫovək
пересекает	pɪrɪsɪˈkajɪt
лошадка	ɫɐˈʂatkə
согласием	sɐˈɡɫasɪjɪm
репортеров	
отражая	ɐtrɐˈʐajə
командировках	kəməndɪˈrofkəx
предпринимал	prɪtprɪnɪˈmaɫ
гимназия	ɡimˈnazijɐ
отважных	
гарнизоне	ɡərnɪˈzone
продержится	prɐˈderʐɨt͡sə
опомнились	ɐˈpomnɪlɪs
растерянностью	rɐˈsterɪnːəstjʊ
медсестру	mɪt͡ssɪˈstru
захлебывался	
обзывал	ɐbzɨˈvaɫ
комнатной	
общепита	ɐpɕːɪˈpitə
незнакомка	nɪznɐˈkomkə
включились	fklʉˈt͡ɕilɪs
соблазнить	səbɫɐzˈnit
накопленные	
оптимизмом	ɐptɪˈmizməm
пятому	
инстинкту	ɪnˈstinktʊ
начавшейся	
охватывала	ɐxˈvatɨvəɫə
додумать	dɐˈdumət
вермишель	vermişel
перс	pers
принятии	prɪˈnætɪɪ
маминого	
угрюмой	
скрываю	skrɨˈvajʊ
демократией	dɪmɐˈkratɪjɪj
растоптал	rəstɐpˈtaɫ
уместным	
однокомнатная	
ослепленный	
освобожденных	
юристом	jʉˈristəm
печатался	pɪˈt͡ɕatəɫsə
писец	pɪˈset͡s
ведают	ˈvedəjʊt
вручает	vrʊˈt͡ɕæjɪt
подслушать	pɐt͡ssˈɫuʂət
банный	ˈbanːɨj
организованный	ɐrɡənɪˈzovənːɨj
сбивал	zbɪˈvaɫ
яичка	jɪˈit͡ɕkə
затыкать	zətɨˈkat
контрольную	kɐnˈtrolnʊjʊ
британский	brɪˈtanskɪj
клинки	klɪnˈki
успевай	ʊspɪˈvaj
перегара	pɪrɪˈɡarə
клинические	
философским	
песчаную	
чепухой	t͡ɕɪpʊˈxoj
ласточек	ˈɫastət͡ɕɪk
налеты	
бинокли	bɪˈnoklɪ
слинял	slɪˈnaɫ
монахом	mɐˈnaxəm
суетилась	sʊjɪˈtiɫəs
рождением	rɐʐˈdenɪjɪm
растрепанные	
познакомила	pəznɐˈkomɪɫə
олафа	
побывку	pɐˈbɨfkʊ
налился	nɐˈliɫsə
подвергнуться	pɐdˈverɡnʊt͡sə
непрерывная	
конечностями	kɐˈnet͡ɕnəstəmɪ
смятый	ˈsmatɨj
записана	
несчастны	nɪˈɕːasnɨ
ментальный	mɪnˈtalnɨj
всплывают	fspɫɨˈvajʊt
энергичных	
сингл	sinɡɫ
окружной	ɐkrʊʐˈnoj
кроватях	krɐˈvatəx
уничтожая	ʊnɪt͡ɕtɐˈʐajə
достанут	dɐˈstanʊt
лунная	
безумец	bɪˈzumɪt͡s
попугаев	pəpʊˈɡajɪf
запрещали	zəprɪˈɕːælɪ
животному	ʐɨˈvotnəmʊ
кряжистый	
переживаниями	pɪrɪʐɨˈvanɪjəmɪ
повозка	pɐˈvoskə
положь	
автоматическая	
знавших	
компетентных	
текущем	
денежку	ˈdenɪʂkʊ
пятилетнего	
булькает	ˈbulkəjɪt
повелевать	pəvɪlɪˈvat
изогнутые	
зловоние	zɫɐˈvonɪje
убедится	ʊbɪˈdit͡sːə
лепту	ˈleptʊ
вселился	fsɪˈliɫsə
прикидываться	prɪˈkidɨvət͡sə
наведался	nɐˈvedəɫsə
нелепости	nɪˈlepəstɪ
давешнего	
трехкомнатной	
призму	ˈprizmʊ
атлас	atlas
злорадства	zɫɐˈrat͡stvə
породило	pərɐˈdiɫə
этакие	ˈɛtəkɪje
мутных	
переглянулся	pɪrɪɡlɪˈnuɫsə
месторождение	mɪstərɐʐˈdenɪje
канавку	kɐˈnafkʊ
сбивают	zbɪˈvajʊt
геморрой	ɡɪmɐˈroj
спустила	spʊˈstiɫə
организованного	
эмблема	emblema
расписывал	rɐˈspisɨvəɫ
какою	kɐˈkojʊ
наместником	nɐˈmesnɪkəm
подписанное	
проверят	prɐˈverət
заплыл	zɐˈpɫɨɫ
расписывать	rɐˈspisɨvət
раджи	ˈrad͡ʐʐɨ
вымысел	ˈvɨmɨsɪɫ
переполненный	pɪrɪˈpoɫnɪnːɨj
невольное	
предназначенной	
разобрала	rəzəbrɐˈɫa
прокуренный	prɐˈkurɪnːɨj
удовлетворять	ʊdəvlɪtvɐˈræt
паршивая	
прослушал	prɐsˈɫuʂəɫ
нервозность	nɪrˈvoznəst
скважина	ˈskvaʐɨnə
стирку	ˈstirkʊ
симпатичной	
исследовательский	ɪsːˈledəvətɪlskɪj
капризный	kɐˈpriznɨj
подвижной	pədvɪʐˈnoj
виновности	vɪˈnovnəstɪ
примчалась	prɪmˈt͡ɕaɫəs
жандарма	ʐɐnˈdarmə
мурлыкал	mʊrˈɫɨkəɫ
проформы	
полотнища	pɐˈɫotnɪɕːə
тоннеле	tɐˈnɛle
чрезмерным	
оладьи	ɐˈɫadjɪ
прелестный	prɪˈlesnɨj
поглощен	
облупленного	
потупив	pɐˈtupɪf
руководящего	
поклонником	pɐˈkɫonːɪkəm
выговаривала	vɨɡɐˈvarɪvəɫə
крут	krut
дамбы	ˈdambɨ
епископ	ɛˈpiskop
отразились	ɐtrɐˈzilɪs
целина	t͡sɛliˈna
бус	bus
сбрасывал	ˈzbrasɨvəɫ
выражен	ˈvɨrəʐɨn
привидений	prɪvɪˈdenɪj
рыхлая	
упорной	
индивидуальное	
болезненную	
видевший	ˈvidɪfʂɨj
шпили	ˈʂpilɪ
существенной	
международное	
райской	
сингла	ˈsinɡɫə
птенцов	ptɪnˈt͡sof
притязаний	prɪtɪˈzanɪj
европейское	
тартарары	tərtərɐˈrɨ
обузой	ɐˈbuzəj
затрагивать	zɐˈtraɡɪvət
неприличия	nɪprɪˈlit͡ɕɪjə
грустных	
ежесекундно	
аритмия	ɐrɪtˈmijə
пропажу	prɐˈpaʐʊ
подхватывал	pɐtxˈvatɨvəɫ
пейзажей	pɪjˈzaʐɨj
комментирует	kəmɪnˈtirʊjɪt
сразиться	srɐˈzit͡sːə
объятья	ɐbˈjætjə
протяжным	
мусоропровода	ˌmusərəprɐˈvodə
всхлипывает	ˈfsxlipɨvəjɪt
ложным	
электромагнитных	
подросли	pədrɐsˈli
влекла	vlɪˈkɫa
заберем	
кошачьим	
улучшилось	ʊˈɫut͡ʂʂɨɫəs
ныла	ˈnɨɫə
волочит	vɐˈɫot͡ɕɪt
влюбились	vlʉˈbilɪs
произведенным	
нарушало	nərʊˈʂaɫə
почетно	
неяркий	nɪˈjarkɪj
консула	ˈkonsʊɫə
намеченной	
карандашами	kərəndɐˈʂamɪ
соч	
пустив	pʊˈstif
оригинала	ɐrɪɡɪˈnaɫə
сыто	ˈsɨtə
скрыт	skrɨt
шаман	ʃamaːn
движениям	dvɪˈʐɛnɪjəm
вирусы	ˈvirʊsɨ
швабру	ˈʂvabrʊ
разгромить	rəzɡrɐˈmit
вращались	vrɐˈɕːælɪs
выходящим	
ворохом	ˈvorəxəm
точкам	ˈtot͡ɕkəm
архитектурой	ɐrxɪtɪkˈturəj
подобны	pɐˈdobnɨ
раструб	rɐˈstrup
вялая	
реб	
головных	
генетика	genetika
комментируя	kəmɪnˈtirʊjə
отправлялась	ɐtprɐˈvlaɫəs
соединяются	səjɪdɪˈnæjʊt͡sə
подпольные	
острил	ɐˈstriɫ
помешательство	pəmɪˈʂatɪlstvə
вентиляция	vɪntɪˈlat͡sɨjə
плеврит	plevrit
хоронил	xərɐˈniɫ
подвигами	ˈpodvɪɡəmɪ
объединений	ɐbjɪdɪˈnenɪj
муравья	mʊrɐˈvja
сдохнет	ˈzdoxnɪt
алгебре	ˈaɫɡɪbre
открыло	ɐtˈkrɨɫə
ностальгия	nəstɐlˈɡijə
журчал	ʐʊrˈt͡ɕaɫ
поцелует	pət͡sɨˈɫujɪt
столпотворение	stəɫpətvɐˈrenɪje
возбуждать	vəzbʊʐˈdat
приговоры	prɪɡɐˈvorɨ
груша	hruša
сертификат	sertifikat
царствие	ˈt͡sarstvɪje
расценивать	rɐˈst͡sɛnɪvət
раскрыта	rɐˈskrɨtə
расстегнутым	
улетит	ʊlɪˈtit
коммунизмом	kəmʊˈnizməm
этикетке	ɪtɪˈketke
выработал	ˈvɨrəbətəɫ
березка	bɪˈrɵskə
разбегаются	rəzbɪˈɡajʊt͡sə
раем	ˈrajɪm
наполнены	
удерживали	ʊˈderʐɨvəlɪ
пьянел	pjɪˈneɫ
подобием	pɐˈdobɪjɪm
шурфы	
фирмам	ˈfirməm
снизошел	
оборотной	
мотоциклистов	mətət͡sɨˈklistəf
гаражей	ɡərɐˈʐɛj
троицу	ˈtroɪt͡sʊ
квашеной	
натолкнулся	nətɐɫkˈnuɫsə
концертом	kɐnˈt͡sɛrtəm
прочитанное	
идеалу	ɪdɪˈaɫʊ
светят	ˈsvetət
робей	rɐˈbej
пообедаем	pɐɐˈbedəjɪm
зверями	zvɪˈræmɪ
забываете	zəbɨˈvajɪte
аргументации	ɐrɡʊmɪnˈtat͡sɨɪ
останавливаемся	ɐstɐˈnavlɪvəjɪmsə
применяя	prɪmɪˈnæjə
шейка	ˈʂɛjkə
рулевого	rʊlɪˈvovə
выпадали	vɨpɐˈdalɪ
заступиться	zəstʊˈpit͡sːə
обрушится	ɐˈbruʂɨt͡sə
культом	ˈkultəm
губной	ɡʊbˈnoj
выпученные	
наложили	nəɫɐˈʐɨlɪ
распятие	rɐˈspætɪje
помои	pɐˈmoɪ
зарегистрировать	zərɪɡɪˈstrirəvət
традиционном	
безлюдной	
поглядишь	pəɡlɪˈdiʂ
меньшинстве	mɪnʂɨnstˈve
ломтиками	ˈɫomtɪkəmɪ
зарежут	zɐˈreʐʊt
продуктах	prɐˈduktəx
лексикон	lɛksiˈkɔn
упустит	ʊˈpustɪt
доном	ˈdonəm
финны	ˈfinɨ
выздоровеет	ˈvɨzdərəvɪjɪt
сугробам	sʊˈɡrobəm
огороду	ɐɡɐˈrodʊ
бармену	bɐrˈmɛnʊ
избранный	ˈizbrənːɨj
навалил	nəvɐˈliɫ
провожающих	
редакциям	rɪˈdakt͡sɨjəm
обгон	ɐbˈɡon
взвешивать	ˈvzveʂɨvət
хирурги	xɪˈrurɡɪ
парадом	pɐˈradəm
холостяцкой	
внимал	vnɪˈmaɫ
магу	maˈɣu
уменьшении	ʊmɪnˈʂɛnɪɪ
оспорить	ɐˈsporɪt
поверхностей	pɐˈverxnəstɪj
охватили	ɐxvɐˈtilɪ
очкастый	ɐt͡ɕˈkastɨj
озабоченности	ɐzɐˈbot͡ɕɪnːəstɪ
покрывая	pəkrɨˈvajə
фальсификаций	fəlsɪfɪˈkat͡sɨj
заревом	ˈzarɪvəm
начальнике	nɐˈt͡ɕælnɪke
мертвяка	
кругленький	ˈkruɡlɪnkɪj
подбирается	pədbɪˈrajɪt͡sə
историческому	ɪstɐˈrit͡ɕɪskəmʊ
включу	fklʉˈt͡ɕu
особняков	ɐsəbnɪˈkof
многолетних	
сочиняют	sət͡ɕɪˈnæjʊt
потомка	pɐˈtomkə
сыпали	ˈsɨpəlɪ
пройдемся	
колет	koˈlɛt
благодарный	bɫəɡɐˈdarnɨj
шкалы	ʂkɐˈɫɨ
минимальная	
лепетал	lɪpɪˈtaɫ
копошился	kəpɐˈʂɨɫsə
затекшие	
абразив	ɐbrɐˈzif
запомнит	zɐˈpomnɪt
хищный	ˈxiɕːnɨj
растительным	
колечками	kɐˈlet͡ɕkəmɪ
вставили	ˈfstavɪlɪ
навернулись	nəvɪrˈnulɪs
майские	
вильнул	vɪlˈnuɫ
утверждением	ʊtvɪrʐˈdenɪjɪm
полицейскому	pəlɪˈt͡sɛjskəmʊ
гастролях	ɡɐˈstroləx
подшипники	pɐt͡ʂˈʂɨpnɪkɪ
посветил	
набитой	
освободилась	ɐsvəbɐˈdiɫəs
панталоны	pəntɐˈɫonɨ
сионистами	sɪɐˈnistəmɪ
подаяние	pədɐˈjænɪje
поманила	pəmɐˈniɫə
чайные	ˈt͡ɕæjnɨje
выгодой	ˈvɨɡədəj
слонялись	sɫɐˈnælɪs
цедит	ˈt͡sɛdɪt
летчикам	
десен	ˈdɛsɛn
моталась	mɐˈtaɫəs
ямах	ˈjaməx
бойкая	
костюмом	kɐˈstuməm
заграждений	
номерам	nəmɪˈram
непроницаемым	
попади	pəpɐˈdi
привычными	
метку	ˈmetkʊ
разместиться	rəzmɪˈstit͡sːə
шляться	ˈʂlat͡sːə
откликнется	ɐtˈkliknɪt͡sə
усесться	ʊˈsest͡sə
смирилась	smɪˈriɫəs
боров	ˈbɔɾɔf
портретах	pɐrˈtretəx
бойницы	bɐjˈnit͡sɨ
ненужного	
падению	pɐˈdenɪjʊ
гаек	ˈɡajɪk
занавеси	ˈzanəvɪsɪ
щипать	ɕːɪˈpat
колбаской	kɐɫˈbaskəj
капитанском	
разгадывать	rɐzˈɡadɨvət
жесту	ˈʐɛstʊ
курортного	
мерцающий	mɪrˈt͡sajʉɕːɪj
художница	xʊˈdoʐnɪt͡sə
согнутым	
приручить	prɪrʊˈt͡ɕit
трата	ˈtratə
благе	ˈbɫaɡe
иностранному	
полста	
халатности	xɐˈɫatnəstɪ
прислушиваюсь	prɪsˈɫuʂɨvəjʉs
обрывал	ɐbrɨˈvaɫ
